DV_pressure,Reservoirs,Oil_temperature,Motor_current,Oil_level,Fail
10042.0,-0.0219999999999984,10.04,72.32499999999999,below,0.0
-0.0079999999999991,1818.0,8.94,73.32499999999999,below,1.0
8704.0,-0.0219999999999984,8714.0,54725.0,below,1.0
-0.009999999999998,0.1359999999999992,9744.0,67.8,below,1.0
-0.0139999999999993,-0.0199999999999995,8884.0,57575.0,below,1.0
8.4,-0.0219999999999984,8416.0,50.42500000000001,below,1.0
9766.0,-0.0240000000000009,9776.0,69.04999999999998,below,1.0
-0.009999999999998,-0.0199999999999995,9618.0,56575.0,below,1.0
8704.0,-0.0219999999999984,8716.0,60475.0,below,1.0
-0.009999999999998,-0.0180000000000006,9472.0,68.6,below,1.0
9782.0,-0.0240000000000009,9782.0,72.22500000000001,below,0.0
8818.0,-0.0159999999999982,8832.0,68725.0,below,1.0
9322.0,-0.0159999999999982,9336.0,69.10000000000001,below,1.0
8728.0,-0.0199999999999995,8744.0,63.85000000000001,below,1.0
8418.0,-0.0180000000000006,8434.0,55.3,below,1.0
10054.0,-0.0180000000000006,10054.0,54.525000000000006,below,1.0
-0.0040000000000013,2.466000000000001,7.555999999999999,68.95,below,1.0
8.68,-0.0259999999999998,8688.0,57575.0,below,0.0
9274.0,-0.0219999999999984,9286.0,67.52499999999999,below,1.0
-0.0139999999999993,-0.0139999999999993,8506.0,65.14999999999999,below,1.0
-0.009999999999998,-0.0199999999999995,10022.0,56975.0,below,1.0
8.43,-0.0300000000000011,8.44,42.55,below,1.0
8616.0,-0.0159999999999982,8632.0,57575.0,below,1.0
-0.0139999999999993,-0.0240000000000009,9386.0,53.89999999999999,below,1.0
9328.0,-0.0180000000000006,9346.0,58.07500000000002,below,1.0
9072.0,-0.0180000000000006,9086.0,68.32499999999999,below,1.0
9136.0,-0.0219999999999984,9148.0,64475.0,below,1.0
9.2,-0.0180000000000006,9.22,59.000000000000014,below,1.0
8.22,-0.0199999999999995,8234.0,55.400000000000006,below,1.0
9.69,-0.0240000000000009,9702.0,63.94999999999999,below,1.0
9002.0,-0.0240000000000009,9016.0,56925.0,below,1.0
8974.0,-0.0199999999999995,8992.0,54.67500000000001,below,1.0
8.2,-0.0199999999999995,8216.0,48.900000000000006,below,1.0
8.43,-0.0219999999999984,8.44,55.2,below,1.0
9674.0,-0.0240000000000009,9686.0,63825.0,below,1.0
8146.0,-0.0240000000000009,8158.0,55.1,below,1.0
10056.0,-0.0240000000000009,10058.0,73.05,below,0.0
9218.0,-0.0240000000000009,9.23,55.69999999999999,below,1.0
8852.0,-0.0219999999999984,8866.0,57.72500000000001,below,1.0
-0.0159999999999982,-0.0219999999999984,8592.0,50.400000000000006,below,1.0
8422.0,-0.0259999999999998,8434.0,55.2,below,1.0
9.67,-0.0259999999999998,9684.0,52725.0,below,1.0
-0.009999999999998,-0.0199999999999995,10048.0,71.95,below,1.0
9526.0,-0.0180000000000006,9536.0,68575.0,below,1.0
-0.0060000000000002,2.26,7.52,68425.0,below,1.0
8.64,-0.0240000000000009,8652.0,53.49999999999999,below,1.0
-0.0240000000000009,-0.0259999999999998,8378.0,48175.0,below,1.0
-0.0139999999999993,-0.0219999999999984,9138.0,60.92500000000001,below,1.0
9454.0,-0.0180000000000006,9.47,57.80000000000001,below,1.0
-0.009999999999998,1.6760000000000002,8954.0,73.64999999999999,below,1.0
-0.0139999999999993,-0.0240000000000009,9632.0,54075.0,below,1.0
8.49,-0.0199999999999995,8502.0,53.95,below,1.0
8.24,-0.0219999999999984,8.25,60575.0,below,1.0
10008.0,-0.0259999999999998,10012.0,71.05,below,0.0
8272.0,-0.0199999999999995,8284.0,63.35,below,1.0
9.78,-0.0219999999999984,9.79,61.000000000000014,below,1.0
10062.0,-0.0199999999999995,10066.0,60.14999999999999,below,1.0
9124.0,-0.0219999999999984,9134.0,58.07500000000002,below,1.0
8.19,-0.0259999999999998,8202.0,50.49999999999999,below,1.0
9048.0,-0.0240000000000009,9.06,55.525000000000006,below,1.0
8554.0,-0.0300000000000011,8564.0,40675.0,below,1.0
8768.0,-0.0240000000000009,8778.0,59.67499999999998,below,0.0
8.82,-0.0199999999999995,8832.0,57.0,below,1.0
8324.0,-0.0240000000000009,8334.0,57.400000000000006,below,1.0
8462.0,-0.0159999999999982,8.48,56.62499999999999,below,1.0
9382.0,-0.0240000000000009,9394.0,66.07499999999999,below,1.0
9406.0,-0.0180000000000006,9416.0,66.52499999999999,below,1.0
8788.0,-0.0199999999999995,8804.0,60.45,below,1.0
8194.0,-0.0219999999999984,8208.0,59.94999999999999,below,1.0
8.91,-0.0219999999999984,8.92,57.67500000000001,below,1.0
9714.0,-0.0240000000000009,9726.0,67625.0,below,1.0
-0.009999999999998,-0.0199999999999995,10046.0,71.64999999999999,below,1.0
8082.0,-0.0240000000000009,8092.0,57375.0,below,1.0
-0.0219999999999984,-0.0240000000000009,8552.0,55.02499999999999,below,1.0
8238.0,-0.0240000000000009,8248.0,49.45,above,0.0
9146.0,-0.0219999999999984,9158.0,60475.0,below,1.0
9.77,-0.0159999999999982,9784.0,60175.0,below,1.0
8382.0,-0.0180000000000006,8396.0,62.87499999999999,below,1.0
8944.0,-0.0199999999999995,8958.0,57.80000000000001,below,1.0
0.2779999999999987,-0.0240000000000009,8062.0,55.80000000000001,below,1.0
8192.0,-0.0219999999999984,8204.0,53.2,below,1.0
9274.0,-0.0199999999999995,9292.0,55.62499999999999,below,1.0
8192.0,-0.0259999999999998,8204.0,55975.0,below,1.0
8314.0,-0.0240000000000009,8326.0,52.0,below,1.0
9614.0,-0.0240000000000009,9626.0,65.8,below,1.0
9.23,-0.0259999999999998,9244.0,54375.0,below,1.0
8702.0,-0.0159999999999982,8716.0,57.67500000000001,below,1.0
8888.0,-0.0180000000000006,8904.0,56.82499999999999,below,1.0
9.01,-0.0240000000000009,9022.0,54.2,below,1.0
8.27,-0.0199999999999995,8284.0,55375.0,below,1.0
8078.0,-0.0219999999999984,8096.0,54325.0,below,1.0
8.36,-0.0219999999999984,8.37,59575.0,below,1.0
8284.0,-0.0219999999999984,8296.0,53.1,below,1.0
8782.0,-0.0219999999999984,8798.0,54.400000000000006,below,1.0
9994.0,-0.0259999999999998,9998.0,70.55,below,1.0
8506.0,-0.0240000000000009,8518.0,56175.0,below,1.0
9032.0,-0.0240000000000009,9044.0,55.82499999999999,below,1.0
8146.0,-0.0199999999999995,8162.0,59.05,below,1.0
9.36,-0.0180000000000006,9378.0,57.60000000000001,below,1.0
8302.0,-0.0240000000000009,8312.0,54225.0,below,1.0
9014.0,-0.0240000000000009,9024.0,58375.0,below,0.0
9614.0,-0.0219999999999984,9628.0,53875.0,below,1.0
8932.0,-0.0219999999999984,8944.0,65.25000000000001,below,1.0
9594.0,-0.0279999999999986,9604.0,60.87499999999999,below,1.0
8802.0,-0.0259999999999998,8.81,57.1,below,0.0
10044.0,-0.0240000000000009,10046.0,58.875000000000014,below,1.0
9422.0,-0.0240000000000009,9436.0,61.97500000000001,below,1.0
8946.0,-0.0139999999999993,8968.0,57.69999999999999,below,1.0
9556.0,-0.0219999999999984,9568.0,56.60000000000001,below,1.0
-0.0139999999999993,-0.0139999999999993,8506.0,65.14999999999999,below,1.0
9186.0,-0.0219999999999984,9198.0,59.07500000000002,below,1.0
9144.0,-0.0159999999999982,9158.0,62175.0,below,1.0
-0.0060000000000002,1808.0,9446.0,74.37499999999999,below,1.0
-0.009999999999998,-0.0139999999999993,9244.0,64.07499999999999,below,1.0
9748.0,-0.0240000000000009,9.76,61375.0,below,1.0
-0.009999999999998,1.8900000000000008,8362.0,71.42500000000001,below,1.0
8.53,-0.0240000000000009,8.54,56.60000000000001,below,1.0
8096.0,-0.0159999999999982,8114.0,57.400000000000006,below,1.0
8798.0,-0.0199999999999995,8812.0,55375.0,below,1.0
9406.0,-0.0259999999999998,9416.0,57.94999999999999,below,1.0
-0.0120000000000004,0.1600000000000001,9476.0,73.35000000000001,below,0.0
10102.0,-0.0199999999999995,10104.0,71125.0,below,1.0
9.27,-0.0139999999999993,9288.0,59.05,below,1.0
8474.0,-0.0199999999999995,8486.0,59.3,below,1.0
8588.0,-0.0240000000000009,8.6,58.0,below,1.0
8246.0,-0.0240000000000009,8254.0,61475.0,below,0.0
9666.0,-0.009999999999998,9688.0,60.94999999999999,below,1.0
9446.0,-0.0240000000000009,9458.0,63.27499999999999,below,1.0
8808.0,-0.0199999999999995,8826.0,58125.0,below,1.0
8.22,-0.0240000000000009,8232.0,54.400000000000006,below,1.0
8536.0,-0.0240000000000009,8548.0,54225.0,below,1.0
9408.0,-0.0219999999999984,9418.0,65425.0,below,1.0
8964.0,-0.0219999999999984,8.98,50.625000000000014,below,1.0
9942.0,-0.0219999999999984,9948.0,67.25000000000001,below,1.0
8444.0,-0.0159999999999982,8.46,55.82499999999999,below,1.0
9484.0,-0.0219999999999984,9494.0,67.85000000000001,below,0.0
8068.0,-0.0180000000000006,8078.0,56.400000000000006,below,1.0
-0.009999999999998,0.7859999999999996,9.57,75.95,below,1.0
-0.009999999999998,1828.0,9.48,73.85,below,1.0
8186.0,-0.0199999999999995,8198.0,61.75,below,1.0
9.6,-0.0219999999999984,9612.0,54.69999999999999,below,1.0
8926.0,-0.0199999999999995,8.94,58.80000000000001,below,1.0
9422.0,-0.0219999999999984,9436.0,56.80000000000001,below,1.0
8284.0,-0.0240000000000009,8292.0,51.42500000000001,below,1.0
8158.0,-0.0180000000000006,8.17,64.6,above,0.0
8646.0,-0.0199999999999995,8658.0,61.45,below,1.0
8868.0,-0.0240000000000009,8878.0,54.1,below,1.0
9288.0,-0.0199999999999995,9.3,66.55,below,1.0
9758.0,-0.0180000000000006,9774.0,61.775000000000006,below,1.0
8348.0,-0.0219999999999984,8358.0,60.14999999999999,below,0.0
8.6,-0.0240000000000009,8612.0,58.5,below,1.0
-0.0060000000000002,2426.0,7504.0,68.75,below,1.0
10068.0,-0.0199999999999995,10.07,69.85,below,1.0
9446.0,-0.0199999999999995,9458.0,67.55,below,1.0
9.59,-0.0219999999999984,9602.0,62.000000000000014,below,1.0
9218.0,-0.0219999999999984,9.23,62.94999999999999,below,1.0
8716.0,-0.0199999999999995,8.73,51.69999999999999,below,1.0
8238.0,-0.0240000000000009,8248.0,49.45,below,1.0
-0.0199999999999995,-0.0180000000000006,8124.0,69.44999999999999,below,1.0
9572.0,-0.0219999999999984,9584.0,59625.0,below,1.0
8584.0,-0.0219999999999984,8598.0,62.14999999999999,below,1.0
9282.0,-0.0240000000000009,9294.0,64375.0,below,1.0
8.1,-0.0199999999999995,8114.0,54.69999999999999,below,1.0
9516.0,-0.0240000000000009,9.53,66.05000000000001,below,1.0
